pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH166700000;0.352;0;0.088;0.02;0.002;0.182;115;3.9;0.486;0.621;0.07;143;2.59746685137542;485088;2067.3;234.7;158;0.478;PH166700000;4.94415393767594;4.93013355452131;4.79868065065565;5.00624668641464;4.135408481730735;5.86449056666007;5.824;4.953939578822075;4.40243980838425;2.4637469582983753;0;7.063085043147243;4.662389775765458;3.0236138606431857;6.813569932324597;6.205863665951312;3.4452147879213273;2.9622558201114586;Surigao del Norte
PH124700000;0.446;0.003;0.007;0;0;0.268;118.7;1.4;0.335;0.753;0.058;496;3.65842145015106;1355776;6450.6;210.1;154.1;0.454;PH124700000;4.37917932183203;3.59149177747928;4.39126488911138;5.02384120267504;5.237795700869474;0.858091602152568;6.208;6.528031182258724;2.8691794207672934;2.044626077455813;2.5470784053616473;4.9045505855063904;0.2007200581559453;0;7.107714142597533;6.362538128603823;3.3131073805232365;4.426245253759675;North Cotabato
PH097200000;0.487;0;0;0.011;0;0.331;104.1;2.9;0.248;0.511;0.106;353;3.44079897725217;1011393;6497.5;155.6;222.8;0.455;PH097200000;4.77763487737252;2.70272214014403;5.69664773350811;5.4788027551493;5.725815277665814;3.7471210498787317;6.192;7.432819539789827;5.680181524257349;3.7431160868729605;0;0;2.5631085354372485;0;7.219574599652486;7.273825891839257;3.3419093913494593;3.883135690478358;Zamboanga del Norte
PH084800000;0.483;0;0.294;0.081;0;0.287;112.2;3.4;0.358;0.442;0.072;191;2.86220763181573;632379;3496.2;179.7;363.9;0.432;PH084800000;5.84558039028795;5.52432921129702;5.65333320676924;6.2622621495857;5.675434000981229;4.841713592639857;6.56;6.283826103269823;6.4823955306226235;2.5207949373558276;0;7.99356779562661;7.357117380001386;0;7.027213111613108;8.373921730541026;3.57870150721313;5.3623340774106305;Northern Samar
PH101800000;0.408;0;0.012;0;0;0.238;156.6;4.2;0.536;0.873;0.066;61;6.21623454418047;88478;249;355.5;297;0.467;PH101800000;4.53631737614564;3.18935298309254;4.56127959464987;5.57853276885358;4.789240557375878;6.390809014670314;6;4.436523304546994;1.470883457384788;2.330926379725492;0;5.544279010592156;0;0;7.000789376778649;8.143971069974945;1.9201853211179298;4.480408910800854;Camiguin
PH175300000;0.238;0;0.003;0;0;0.18;136.2;1.5;0.282;0.461;0.072;392;3.54932794247002;1101617;14857.8;74;359;0.572;PH175300000;4.20643806642203;2.08754784029459;4.44838733631659;5.57327663843846;2.7783875615701294;0.9153017791119781;4.32;7.084111870575769;6.2655837922698545;2.5219178447886472;0;0.9531525646211382;0;0;6.568784694101593;7.622181181911947;3.334650220531738;3.2280908004158992;Palawan
PH126300000;0.284;0.001;0.001;0.003;0;0.148;88.5;1.4;0.527;0.796;0.042;294;1.95036131438431;1507413;4403.4;342;95.3;0.596;PH126300000;3.74113930503441;2.90353132043374;2.92601286046956;5.07060127770212;3.3248677933063084;0.8607528261995883;3.936;4.52942626148642;2.367296258444898;1.4787472891131652;1.9402760120189857;1.6704832944303134;1.4430858603512042;0;6.683409272722967;5.517312924615005;4.650724925272135;2.099559269430272;South Cotabato
PH086400000;0.371;0;0.08;0.002;0.005;0.23;113.8;4;0.574;0.838;0.045;143;3.05868405453468;421750;1725.9;244.6;150;0.533;PH086400000;4.64765676321991;4.54003447523695;4.04263316350776;5.22940571729267;4.357396337464004;6.0195281564908125;4.944;4.041842289145194;1.8783434784798911;1.5856457416699365;0;7.015217826722141;1.359920034752052;3.9627351247277076;6.959800661594238;6.864845306341152;3.1783640397135224;3.7448977729112953;Southern Leyte
PH082600000;0.432;0;0.209;0.085;0.006;0.324;133.4;3.5;0.382;0.637;0.066;167;3.21089134343694;467160;4395.5;105;302;0.389;PH082600000;5.71249284113879;5.79955471414759;5.40612642914545;5.84522938053867;5.071708944036001;5.306336158917715;7.248;6.043456332500771;4.209006349615505;2.3229473811789307;0;7.855898178764788;5.958277986218127;3.3246459396700123;7.26764809435932;7.9908211032100525;3.1023176839874145;3.8521857157798074;Eastern Samar
PH128000000;0.46;0;0.005;0;0;0.112;150.3;1.1;0.246;0.504;0.072;159;2.94356137603164;540162;3284.1;164.6;363.9;0.438;PH128000000;4.72373796117011;2.67164194636595;5.09095057360952;5.95998059355086;5.412933384941782;0.1651171315272085;6.464;7.45830072107189;5.765534578836456;2.5380101801488766;0;3.3732572245287153;0.9786550663212259;0;6.380165512006462;8.253245032321423;3.604201934161584;4.656681446857576;Sarangani
PH037700000;0.129;0.005;0.456;0.024;0;0.318;181.8;2.6;0.565;0.825;0.042;121;5.64534189310242;214336;3181.2;67.4;372.6;0.551;PH037700000;5.00161129709794;6.00461412870307;2.96488908833936;5.57723979635899;1.4922471447804786;3.243458868318901;4.656;4.142118710460006;2.030756883277235;1.4833521883766019;3.0197087468283548;8.464664326320333;7.034190807504537;0;7.2603392188349165;8.263849914839097;2.425752413095944;4.084238245956963;Aurora
PH072200000;0.172;0;0.041;0;0;0.2;57.7;2;0.586;0.911;0.033;1211;2.61421880299001;4632359;4986.6;926.9;66;0.636;PH072200000;3.65435177967166;3.40188212496314;2.41124664014742;4.8797386392226;2.0056766379402093;2.1127127668645715;3.296;3.923333363727556;1.0219806088027301;1.1558188195836303;0;6.3954525263779445;0;0;6.842828956898745;5.172441145751071;4.218489615708258;2.284867286019755;Cebu
