pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH098300000;0.402;0;0;0.01;0;0.25;136;2.7;0.203;0.457;0.095;150;2.37403001090471;631837;2757.1;229.3;309.3;0.504;PH098300000;5.07469306893562;3.19555048207018;5.5281290956767;6.06999101512914;4.724703649646439;3.4709584908766025;5.408;7.901784581885621;6.311570613427779;3.3498028786038976;0;0;5.356330245374014;0;6.983179775425508;8.198057651201827;3.974741046747554;4.898436542422046;Zamboanga Sibugay
PH112300000;0.248;0.001;0.014;0;0.004;0.285;81.4;1.9;0.483;0.852;0.058;269;2.65617625161197;1012734;3542.2;285;92.1;0.524;PH112300000;4.0859812328854;4.18620060612591;3.3174782829151;4.61465194169448;2.9050482984001254;1.8761392428811514;5.088;4.987304769177403;1.7058001108873782;2.0482301263040386;2.311090952494061;5.78539214305036;0.36533224395430625;2.0825827463850297;7.234940891266533;5.281063940213515;3.8972692396723256;2.0230175952104896;Davao del Norte
PH067900000;0.206;0;0.003;0;0;0.045;155.8;3.1;0.46;0.8;0.046;90;5.28413994751088;170321;619;275.1;112.7;0.662;PH067900000;3.59278891311711;2.47096483032967;3.27734682136553;4.81965385881802;2.401487285633195;4.281174957873662;2.88;5.232343108617908;2.313022184317732;1.6356980783013615;0;4.463539652448348;0;0;5.807173174395791;6.7660654144248795;2.4295374854316485;4.487122499533238;Guimaras
PH144400000;0.238;0;0.304;0.001;0;0.208;191.4;3.6;0.331;0.959;0.043;120;5.3690406882722;154590;2239.3;69;261.8;0.473;PH144400000;4.64984663159739;4.27974615177532;4.23875746228455;5.32617038213022;2.7803968581140954;5.166466136231322;5.904;6.571497619818986;0.4703114573748383;1.5188089530780648;0;8.148963295672617;0.9970335275570792;0;6.991421408601739;7.63590928323169;1.7247714908769847;3.9820631932516366;Mountain Province
PH060400000;0.168;0;0.068;0.012;0;0.236;190.7;3.1;0.526;0.498;0.049;172;2.99222543287238;574823;1711;336.2;144.8;0.598;PH060400000;4.54433666912903;4.403525448285;3.95794786367722;5.12568348131596;1.951352063743584;4.236298825899451;3.904;4.538624079682806;5.830631951761586;1.7077590669490348;0.3941046047787311;6.851352033447138;4.1482761991133925;0;6.9064388631627756;6.85677086712448;3.547840998133887;4.27990438138715;Aklan
PH083700000;0.325;0;0.125;0;0.002;0.273;102.2;2.4;0.479;0.72;0.064;424;2.14565215622788;1966768;5701.6;338.9;144.3;0.586;PH083700000;4.53645990264399;4.19198687931589;3.72118943585189;5.49497624994532;3.813082883415687;2.8423942223993883;4.096;5.027693882973204;3.2518586576108572;2.237786672505277;0;7.44993702686486;0.7110708660378944;1.2538544273135437;7.102006898851722;6.713554659572688;4.185881176870076;3.560294882311879;Leyte
PH156600000;0.503;0;0;0;0;1.008;76.3;2.8;0.092;0.478;0.114;151;1.79452451769122;824731;1577.5;506.3;54;0.303;PH156600000;5.14876302037259;2.12805787435574;6.88112601412417;5.44505103116714;5.911500740435079;3.6850973226421706;8.624;9.053106072807042;6.061542366608381;4.012672992598986;0;0;0.18230216385740797;0;7.017837437287748;4.035664490220737;4.601555644620622;6.17431981324113;Sulu
PH097300000;0.251;0;0;0.013;0;0.316;52.9;2.2;0.327;0.695;0.078;354;1.89188669202009;1871148;5368.3;347.2;119.6;0.556;PH097300000;4.03483284013726;2.95560192611611;4.01023071036808;4.94738505178653;2.93131111118785;2.3188374195948156;4.576;6.607280319626964;3.5384767792525333;2.7319151883469774;0.2679928736866015;0;3.4925000563001354;0;7.144519743538466;5.343190948460851;4.445299056654315;2.2401587791617668;Zamboanga del Sur
PH148100000;0.466;0.004;0.447;0.001;0;0.317;237.5;2.4;0.492;0.867;0.066;76;6.4111216088541;118544;4139.5;28.6;276.9;0.379;PH148100000;4.90312926383347;5.24784671196017;4.50160841377495;4.91257430206295;5.47833735717235;2.7923808881090566;7.408;4.900428999371164;1.534600023160329;2.319988394396613;4.040492743101604;8.540009199209683;1.2400974632518456;0;7.3057125449223745;7.667938582123194;2.125100755183599;3.3656737950432527;Apayao
PH050500000;0.277;0.004;0.389;0.002;0;0.182;91.6;2.2;0.666;0.708;0.059;262;2.00123129192465;1309194;2589.5;505.5;60.9;0.541;PH050500000;4.40324425964652;5.00664613044031;3.30106033992315;4.72761485799559;3.243081797479389;2.4409568024295862;4.816;3.085001137501378;3.3890965124783836;2.0928547274985037;3.106308520192849;8.41518644093422;1.7628374601799148;0;6.910324696120261;5.03716160510849;4.315766710936932;3.2480629611002643;Albay
PH126500000;0.432;0.003;0;0.007;0;0.259;106.3;1.9;0.356;0.614;0.062;260;3.20933372997407;810137;4472.1;181;253.1;0.443;PH126500000;4.6632260423518;3.45082059477946;4.74275775710122;5.54410129224507;5.07241472994198;1.728191651535481;6.384;6.309803580178838;4.4773082207801975;2.1995949320134986;3.3257307966526066;0.2099583987208918;3.365077828169719;0;6.964750683271791;7.132031519213672;3.5560606047699546;4.538746348282902;Sultan Kudarat
PH104300000;0.192;0.002;0.001;0;0.001;0.166;82;2.1;0.51;0.864;0.047;471;2.95220003080557;1558160;3388.6;457;67.2;0.661;PH104300000;3.51733715218314;2.89034376326891;2.72649094493526;4.68803168444999;2.241584870396368;2.2174025773989836;2.896;4.711868225724312;1.5688285630829426;1.6484906899940486;2.7113912406661025;1.2403092461506515;0;0.7454028529898661;6.789823295216508;5.169768203513608;3.9652345414514776;1.950799101401639;Misamis Oriental
PH064500000;0.191;0;0.033;0;0;0.283;53.8;null;0.488;0.796;0.041;707;2.31525448150744;3053660;7990.7;381.3;75.5;0.584;PH064500000;3.90503821413497;3.59497603629577;3.17380875908039;4.78374471599779;2.225651763232845;null;4.128;4.9425610606013795;2.3606754548790576;1.4405283274478384;0.8164083646972823;5.847911681240895;0.2822250760487067;0;7.180966941423912;5.065224482810149;4.28574988279103;1.5840776020065248;Negros Occidental
PH037100000;0.116;0.012;0.158;0.005;0.246;0.154;141.3;1.7;0.802;0.901;0.024;251;3.04653059639174;823888;3812.8;216.4;144.6;0.542;PH037100000;4.78797589371624;6.6027160755992;2.01609991999172;4.83108561492627;1.3361977620442924;1.3817630551725477;4.8;1.6693129307525925;1.139306232656554;0.831688877511862;4.37509118855892;7.640072732012072;4.064872725074621;7.269834015117292;6.743500104986501;6.013914807035792;3.7523817653234524;2.7801645335678993;Zambales
PH031400000;0.057;0.018;0.237;0;0.014;0.311;160;1.4;0.888;0.969;0.021;608;1.85753160324225;3273161;2663;1230.7;22.3;0.705;PH031400000;3.545708480708;4.79261101675108;0.946928504890169;4.1544549432729;0.6358456824888322;0.7560569125686148;2.192;0.7746015398984502;0.3511884626240687;0.7365208871980241;3.2316640308418907;7.825242202973605;0.3196978452315031;1.1148165426585548;6.91679533600353;2.9844553929732016;4.978085462068041;2.460255857819952;Bulacan
PH133900000;0.059;0.074;0.163;0;0.018;0.185;null;1;null;null;null;null;null;1761930;22.3;24298.2;17.4;0.829;PH133900000;3.665359710795;6.57067655636343;0.293805732325888;2.70666522790818;0.6627218934911243;0;0.208;null;null;null;8.27343427366699;7.75438589623905;0;6.729122468075544;6.950284325406869;2.7066652279081835;null;null;First District (Manila)
