pcode_parent;name;population;land_area;pop_density;pcode;3W_activities;3W_WASH;3W_Health;3W_FSL;foodsecurity
NGA;Rivers;6037493.034;8622;700.2427551;NGA33;0;0;0;0;1
NGA;Sokoto;4672225.101;32780;142.5327975;NGA34;0;0;0;0;1
NGA;Taraba;2983291.284;61292;48.67342042;NGA35;0;0;0;0;1
NGA;Yobe;3033801.934;46926;64.65076788;NGA36;0;0;0;0;2.468537655
NGA;Zamfara;4220731.325;35526;118.8068267;NGA37;0;0;0;0;1
SOM;Awdal;450772.2625;16679;27.02633626;SOM1;0;0;0;0;2.304663742
SOM;Bakool;433920.8718;25953;16.71948799;SOM2;0;0;0;0;2.878397603
SOM;Banaadir;1313101.081;212;6193.873022;SOM3;0;0;0;0;2
SOM;Bari;602866.2631;69768;8.641013977;SOM4;0;0;0;0;2.439410884
SOM;Bay;880206.8504;44282;19.87730569;SOM5;0;0;0;0;2.45478517
SOM;Galguduud;473705.8595;50038;9.466922328;SOM6;0;0;0;0;2.309278316
SOM;Gedo;445058.9934;45399;9.80327746;SOM7;0;0;0;0;2.151798475
SOM;Hiiraan;499633.8613;34428;14.51242771;SOM8;1;1;0;0;2.158525774
SOM;Jubbada Dhexe;330788.7553;18937;17.46785421;SOM9;0;0;0;0;1.996354299
SOM;Jubbada Hoose;542817.4738;48047;11.2976351;SOM10;0;0;0;0;2.072954233
SOM;Mudug;486126.4004;59164;8.216591177;SOM11;0;0;0;0;2.229156586
SOM;Nugaal;175235.0319;27948;6.270038352;SOM12;1;1;0;0;2.468843891
SOM;Sanaag;381076.7504;55101;6.915967957;SOM13;1;0;1;0;2.561664337
SOM;Shabeellaha Dhexe;681809.8518;18649;36.56012933;SOM14;0;0;0;0;2
SOM;Shabeellaha Hoose;1219224.657;25855;47.15624277;SOM15;0;0;0;0;2.173857858
SOM;Sool;215514.7594;38749;5.561814741;SOM16;0;0;0;0;2.805190218
SOM;Togdheer;581249.0118;34763;16.72033518;SOM17;0;0;0;0;2.029351644
SOM;Woqooyi Galbeed;1010255.553;28516;35.42767404;SOM18;0;0;0;0;2.033237164
SSD;Central Equatoria;1655463.689;44067;37.56697049;SSD1;2;2;0;0;3.308969677
SSD;Eastern Equatoria;1250403.007;69906;17.88691968;SSD2;2;2;0;0;2.812724932
SSD;Jungoli;2079141.465;124037;16.76226823;SSD3;0;0;0;0;3.260701471
SSD;Lakes;1058934.606;43548;24.31649229;SSD4;0;0;0;0;2.653005667
SSD;North Bahr-al-Ghazal;1293538.672;32787;39.45279141;SSD5;3;3;0;0;3.508305644
SSD;Unity;901794.1562;37211;24.23461224;SSD6;0;0;0;0;3.292547916
SSD;Upper Nile;1516097.419;78915;19.21177747;SSD7;0;0;0;0;3.102851962
SSD;Warap;1269590.936;40122;31.64326146;SSD8;1;1;0;0;2.935874503
SSD;West Bahr-al-Ghazal;374847.9855;86988;4.309191905;SSD9;0;0;0;0;3.996596911
SSD;West Equatoria;955315.4623;80009;11.94010002;SSD10;0;0;0;0;2.595677334
